county,precinct,office,district,party,candidate,votes
Iosoco,Alabaster Township Precinct 1,Straight Party,,DEM,Democratic Party,54
Iosoco,AuSable Township Precinct 1,Straight Party,,DEM,Democratic Party,224
Iosoco,Baldwin Township Precinct 1,Straight Party,,DEM,Democratic Party,172
Iosoco,Burleigh Township Precinct 1,Straight Party,,DEM,Democratic Party,48
Iosoco,City of East Tawas Precinct 1,Straight Party,,DEM,Democratic Party,292
Iosoco,City of Tawas City Precinct 1,Straight Party,,DEM,Democratic Party,144
Iosoco,City of Whittemore Precinct 1,Straight Party,,DEM,Democratic Party,26
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,DEM,Democratic Party,139
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,DEM,Democratic Party,245
Iosoco,Oscoda Township Precinct 2,Straight Party,,DEM,Democratic Party,92
Iosoco,Oscoda Township Precinct 3,Straight Party,,DEM,Democratic Party,181
Iosoco,Oscoda Township Precinct 4,Straight Party,,DEM,Democratic Party,207
Iosoco,Plainfield Township Precinct 1,Straight Party,,DEM,Democratic Party,140
Iosoco,Plainfield Township Precinct 2,Straight Party,,DEM,Democratic Party,250
Iosoco,Reno Township Precinct 1,Straight Party,,DEM,Democratic Party,36
Iosoco,Sherman Township Precinct 1,Straight Party,,DEM,Democratic Party,26
Iosoco,Tawas Township Precinct 1,Straight Party,,DEM,Democratic Party,143
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,DEM,Democratic Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,DEM,Democratic Party,83
Iosoco,Total,Straight Party,,DEM,Democratic Party,2502
Iosoco,Alabaster Township Precinct 1,Straight Party,,REP,Republican Party,123
Iosoco,AuSable Township Precinct 1,Straight Party,,REP,Republican Party,365
Iosoco,Baldwin Township Precinct 1,Straight Party,,REP,Republican Party,317
Iosoco,Burleigh Township Precinct 1,Straight Party,,REP,Republican Party,122
Iosoco,City of East Tawas Precinct 1,Straight Party,,REP,Republican Party,455
Iosoco,City of Tawas City Precinct 1,Straight Party,,REP,Republican Party,301
Iosoco,City of Whittemore Precinct 1,Straight Party,,REP,Republican Party,54
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,REP,Republican Party,274
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,REP,Republican Party,436
Iosoco,Oscoda Township Precinct 2,Straight Party,,REP,Republican Party,164
Iosoco,Oscoda Township Precinct 3,Straight Party,,REP,Republican Party,299
Iosoco,Oscoda Township Precinct 4,Straight Party,,REP,Republican Party,294
Iosoco,Plainfield Township Precinct 1,Straight Party,,REP,Republican Party,221
Iosoco,Plainfield Township Precinct 2,Straight Party,,REP,Republican Party,456
Iosoco,Reno Township Precinct 1,Straight Party,,REP,Republican Party,102
Iosoco,Sherman Township Precinct 1,Straight Party,,REP,Republican Party,66
Iosoco,Tawas Township Precinct 1,Straight Party,,REP,Republican Party,420
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,REP,Republican Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,REP,Republican Party,181
Iosoco,Total,Straight Party,,REP,Republican Party,4650
Iosoco,Alabaster Township Precinct 1,Straight Party,,LIB,Libertarian Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Baldwin Township Precinct 1,Straight Party,,LIB,Libertarian Party,0
Iosoco,Burleigh Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,City of East Tawas Precinct 1,Straight Party,,LIB,Libertarian Party,4
Iosoco,City of Tawas City Precinct 1,Straight Party,,LIB,Libertarian Party,1
Iosoco,City of Whittemore Precinct 1,Straight Party,,LIB,Libertarian Party,0
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,LIB,Libertarian Party,1
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,LIB,Libertarian Party,5
Iosoco,Oscoda Township Precinct 2,Straight Party,,LIB,Libertarian Party,1
Iosoco,Oscoda Township Precinct 3,Straight Party,,LIB,Libertarian Party,5
Iosoco,Oscoda Township Precinct 4,Straight Party,,LIB,Libertarian Party,2
Iosoco,Plainfield Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Plainfield Township Precinct 2,Straight Party,,LIB,Libertarian Party,1
Iosoco,Reno Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Sherman Township Precinct 1,Straight Party,,LIB,Libertarian Party,0
Iosoco,Tawas Township Precinct 1,Straight Party,,LIB,Libertarian Party,1
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Total,Straight Party,,LIB,Libertarian Party,31
Iosoco,Alabaster Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,AuSable Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,4
Iosoco,Baldwin Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Burleigh Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,City of Tawas City Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,City of Whittemore Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Grant Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Oscoda Township Precinct 2,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,Oscoda Township Precinct 4,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,Plainfield Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Plainfield Township Precinct 2,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Reno Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Sherman Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Tawas Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Wilber Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Total,Straight Party,,UST,U.S. Taxpayers,25
Iosoco,Alabaster Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,Baldwin Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,Burleigh Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,WC,Working Class Party,5
Iosoco,City of Tawas City Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,City of Whittemore Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,Oscoda Township Precinct 2,Straight Party,,WC,Working Class Party,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,WC,Working Class Party,4
Iosoco,Oscoda Township Precinct 4,Straight Party,,WC,Working Class Party,3
Iosoco,Plainfield Township Precinct 1,Straight Party,,WC,Working Class Party,4
Iosoco,Plainfield Township Precinct 2,Straight Party,,WC,Working Class Party,3
Iosoco,Reno Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Sherman Township Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Tawas Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Total,Straight Party,,WC,Working Class Party,37
Iosoco,Alabaster Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,Baldwin Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Burleigh Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,City of Tawas City Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,City of Whittemore Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,Oscoda Township Precinct 2,Straight Party,,GRE,Green Party,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,GRE,Green Party,2
Iosoco,Oscoda Township Precinct 4,Straight Party,,GRE,Green Party,3
Iosoco,Plainfield Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Plainfield Township Precinct 2,Straight Party,,GRE,Green Party,0
Iosoco,Reno Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Sherman Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Tawas Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Total,Straight Party,,GRE,Green Party,16
Iosoco,Alabaster Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,NAL,Natural Law Party,1
Iosoco,Baldwin Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Burleigh Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,NAL,Natural Law Party,3
Iosoco,City of Tawas City Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,City of Whittemore Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Oscoda Township Precinct 2,Straight Party,,NAL,Natural Law Party,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,NAL,Natural Law Party,1
Iosoco,Oscoda Township Precinct 4,Straight Party,,NAL,Natural Law Party,0
Iosoco,Plainfield Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Plainfield Township Precinct 2,Straight Party,,NAL,Natural Law Party,0
Iosoco,Reno Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Sherman Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Tawas Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,NAL,Natural Law Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,NAL,Natural Law Party,0
Iosoco,Total,Straight Party,,NAL,Natural Law Party,5
Iosoco,Alabaster Township Precinct 1,Governor,,DEM,Gretchen Whitmer,127
Iosoco,AuSable Township Precinct 1,Governor,,DEM,Gretchen Whitmer,422
Iosoco,Baldwin Township Precinct 1,Governor,,DEM,Gretchen Whitmer,366
Iosoco,Burleigh Township Precinct 1,Governor,,DEM,Gretchen Whitmer,106
Iosoco,City of East Tawas Precinct 1,Governor,,DEM,Gretchen Whitmer,615
Iosoco,City of Tawas City Precinct 1,Governor,,DEM,Gretchen Whitmer,354
Iosoco,City of Whittemore Precinct 1,Governor,,DEM,Gretchen Whitmer,53
Iosoco,Grant Township Precinct 1,Governor,,DEM,Gretchen Whitmer,318
Iosoco,Oscoda Township Precinct 1,Governor,,DEM,Gretchen Whitmer,517
Iosoco,Oscoda Township Precinct 2,Governor,,DEM,Gretchen Whitmer,149
Iosoco,Oscoda Township Precinct 3,Governor,,DEM,Gretchen Whitmer,397
Iosoco,Oscoda Township Precinct 4,Governor,,DEM,Gretchen Whitmer,428
Iosoco,Plainfield Township Precinct 1,Governor,,DEM,Gretchen Whitmer,271
Iosoco,Plainfield Township Precinct 2,Governor,,DEM,Gretchen Whitmer,494
Iosoco,Reno Township Precinct 1,Governor,,DEM,Gretchen Whitmer,108
Iosoco,Sherman Township Precinct 1,Governor,,DEM,Gretchen Whitmer,74
Iosoco,Tawas Township Precinct 1,Governor,,DEM,Gretchen Whitmer,289
Iosoco,Wilber Township Precinct 1,Governor,,DEM,Gretchen Whitmer,178
Iosoco,Total,Governor,,DEM,Gretchen Whitmer,5266
Iosoco,Alabaster Township Precinct 1,Governor,,REP,Tudor M. Dixon,184
Iosoco,AuSable Township Precinct 1,Governor,,REP,Tudor M. Dixon,542
Iosoco,Baldwin Township Precinct 1,Governor,,REP,Tudor M. Dixon,496
Iosoco,Burleigh Township Precinct 1,Governor,,REP,Tudor M. Dixon,172
Iosoco,City of East Tawas Precinct 1,Governor,,REP,Tudor M. Dixon,766
Iosoco,City of Tawas City Precinct 1,Governor,,REP,Tudor M. Dixon,422
Iosoco,City of Whittemore Precinct 1,Governor,,REP,Tudor M. Dixon,90
Iosoco,Grant Township Precinct 1,Governor,,REP,Tudor M. Dixon,480
Iosoco,Oscoda Township Precinct 1,Governor,,REP,Tudor M. Dixon,624
Iosoco,Oscoda Township Precinct 2,Governor,,REP,Tudor M. Dixon,239
Iosoco,Oscoda Township Precinct 3,Governor,,REP,Tudor M. Dixon,450
Iosoco,Oscoda Township Precinct 4,Governor,,REP,Tudor M. Dixon,427
Iosoco,Plainfield Township Precinct 1,Governor,,REP,Tudor M. Dixon,366
Iosoco,Plainfield Township Precinct 2,Governor,,REP,Tudor M. Dixon,690
Iosoco,Reno Township Precinct 1,Governor,,REP,Tudor M. Dixon,162
Iosoco,Sherman Township Precinct 1,Governor,,REP,Tudor M. Dixon,135
Iosoco,Tawas Township Precinct 1,Governor,,REP,Tudor M. Dixon,602
Iosoco,Wilber Township Precinct 1,Governor,,REP,Tudor M. Dixon,264
Iosoco,Total,Governor,,REP,Tudor M. Dixon,7111
Iosoco,Alabaster Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Iosoco,AuSable Township Precinct 1,Governor,,LIB,Mary Buzuma,6
Iosoco,Baldwin Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Iosoco,Burleigh Township Precinct 1,Governor,,LIB,Mary Buzuma,2
Iosoco,City of East Tawas Precinct 1,Governor,,LIB,Mary Buzuma,9
Iosoco,City of Tawas City Precinct 1,Governor,,LIB,Mary Buzuma,5
Iosoco,City of Whittemore Precinct 1,Governor,,LIB,Mary Buzuma,2
Iosoco,Grant Township Precinct 1,Governor,,LIB,Mary Buzuma,9
Iosoco,Oscoda Township Precinct 1,Governor,,LIB,Mary Buzuma,11
Iosoco,Oscoda Township Precinct 2,Governor,,LIB,Mary Buzuma,3
Iosoco,Oscoda Township Precinct 3,Governor,,LIB,Mary Buzuma,10
Iosoco,Oscoda Township Precinct 4,Governor,,LIB,Mary Buzuma,8
Iosoco,Plainfield Township Precinct 1,Governor,,LIB,Mary Buzuma,3
Iosoco,Plainfield Township Precinct 2,Governor,,LIB,Mary Buzuma,8
Iosoco,Reno Township Precinct 1,Governor,,LIB,Mary Buzuma,4
Iosoco,Sherman Township Precinct 1,Governor,,LIB,Mary Buzuma,1
Iosoco,Tawas Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Iosoco,Wilber Township Precinct 1,Governor,,LIB,Mary Buzuma,5
Iosoco,Total,Governor,,LIB,Mary Buzuma,95
Iosoco,Alabaster Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Iosoco,AuSable Township Precinct 1,Governor,,UST,Donna Brandenburg,5
Iosoco,Baldwin Township Precinct 1,Governor,,UST,Donna Brandenburg,1
Iosoco,Burleigh Township Precinct 1,Governor,,UST,Donna Brandenburg,2
Iosoco,City of East Tawas Precinct 1,Governor,,UST,Donna Brandenburg,7
Iosoco,City of Tawas City Precinct 1,Governor,,UST,Donna Brandenburg,6
